countryyearcode,INVPRIMARYTEACHERS,PRIMARYTEACHERS,INVLOWERTEACHERS,LOWERTEACHERS,INVUPPERTEACHERS,
ARM2018,0.060132109,16.63005025,0.076017745,13.15482326,0.153248163,6.525363718
ARM2019,0.04291603,23.3013167,0.060424011,16.54971226,0.136624683,7.319321641
ARM2020,0.047506862,21.04959088,0.057875314,17.27852409,0.125817796,7.948001249
ARM2021,0.04736571,21.11231929,0.056476848,17.70637045,0.124177229,8.053006268
ARM2022,,,,,,
ABW1980,,,,,,
ABW1981,,,,,,
ABW1982,,,,,,
ABW1983,,,,,,
ABW1984,,,,,,
ABW1985,,,,,,
ABW1986,,,,,,
ABW1987,,,,,,
ABW1988,,,,,,
ABW1989,,,,,,
ABW1990,,,,,,
ABW1991,,,,,,
ABW1992,,,,,,
ABW1993,,,,,,
ABW1994,,,,,,
ABW1995,,,,,,
ABW1996,,,,,,
ABW1997,,,,,,
ABW1998,,,,,,
ABW1999,0.058351838,17.13742072,,,,
ABW2000,0.058127018,17.2037037,,,,
ABW2001,0.057759221,17.31325301,,,,
ABW2002,0.058212996,17.17829457,,,,
ABW2003,0.059258442,16.87523277,,,,
ABW2004,0.060071825,16.64673913,,,,
ABW2005,0.061610344,16.23104056,,,,
ABW2006,0.062898614,15.8986014,,,,
ABW2007,0.066146993,15.11784512,,,,
ABW2008,0.065401559,15.29015544,,,,
ABW2009,0.066605631,15.0137457,,,,
ABW2010,0.067644003,14.78327645,,,,
ABW2011,0.069770128,14.33278146,,,,
ABW2012,0.070382949,14.20798669,,,,
ABW2013,0.069957386,14.29441624,,,,
ABW2014,0.070985445,14.08739496,,,,
ABW2015,0.073847262,13.54146341,,,,
ABW2016,0.076065891,13.14649682,,,,
ABW2017,,,,,,
ABW2018,,,,,,
ABW2019,,,,,,
ABW2020,,,,,,
ABW2021,,,,,,
ABW2022,,,,,,
AUS1980,,,,,,
AUS1981,0.058589708,17.06784409,,,,
AUS1982,,,,,,
AUS1983,,,,,,
AUS1984,0.06819636,14.66353923,,,,
AUS1985,,,,,,
AUS1986,0.062897029,15.89900204,,,,
AUS1987,0.063779984,15.67890019,,,,
AUS1988,0.06402717,15.61836941,,,,
AUS1989,0.063672028,15.70548373,,,,
AUS1990,,,,,,
AUS1991,0.063946036,15.63818597,,,,
AUS1992,0.063959376,15.6349242,,,,
AUS1993,0.063849146,15.66191665,,,,
AUS1994,,,,,,
AUS1995,0.055811037,17.91760281,,,,
AUS1996,0.056208665,17.7908514,,,,
AUS1997,0.056581172,17.67372367,,,,
AUS1998,0.056461346,17.71123199,,,,
AUS1999,0.056310167,17.7587822,,,,
AUS2000,,,,,,
AUS2001,,,,,,
AUS2002,,,,,,
AUS2003,,,,,,
AUS2004,,,,,,
AUS2005,,,,,,
AUS2006,,,,,,
AUS2007,,,,,,
AUS2008,,,,,,
